Name,index_name,altitude_m,Type,Mean vegetation index value,Mean coefficient of variation of vegetation index,Mean standard deviation of the vegetation index,Mean standard deviation of the standard deviation vegetation index,Total amplitude of vegetation index,Total increase changes of vegetation index,Total decrease changes of vegetation index,Total relative vegetation index amplitude (%),Total relative increase change of vegetation index amplitude (%),Total relative decrease change of vegetation index amplitude (%),Number of increase changes vegetation index,Number of decrease changes vegetation index,Roughness of vegetation index dynamics,Concentration of vegetation index changes,Total normalized temporal amplitude relative to index bounds,Normalized temporal roughness relative to index bounds,Spearman correlation between index level and magnitude of temporal change
Polonez 2 Edges,LCI,30,Area,0.3614045454545454,0.2629896771663125,0.0927390909090909,0.0203799825586507,0.6214000000000001,0.28251,0.33889,1.7993032430902434,0.7037990238157799,1.0955042192744635,5,5,0.98862,0.1350860355713279,1.5682858344830946,1.2797548568066843,-0.406060606060606
Polonez 3 Edges,LCI,30,Area,0.3768536363636363,0.2715919945915071,0.1003436363636363,0.0234707103738797,0.50838,0.23485,0.27353,1.3782585528181446,0.5652647811784558,0.8129937716396888,5,5,0.8044200000000001,0.1448144751543113,1.2155174577914414,0.937539391916584,-0.2121212121212121
Polonez 4 Edges,LCI,30,Area,0.4044645454545454,0.2681184439560267,0.1072227272727272,0.024444256213233,0.48446,0.22539,0.25907,1.2052462427209365,0.5089118220237229,0.6963344206972136,5,5,0.7361200000000001,0.1357051383988733,1.1014592954565254,0.7068534577592743,0.2484848484848484
Polonez 5 Edges,LCI,30,Area,0.4167236363636364,0.2399327787093964,0.0987754545454545,0.0193759894527409,0.47835,0.20834,0.27001,1.1783246871245463,0.4600036769070762,0.7183210102174704,5,5,0.68257,0.1280023845076751,1.0996560678006917,0.6688875551618869,-0.5272727272727272
Enrosadira 2 Bounded,LCI,50,Area,0.3713745454545454,0.2209292127849631,0.0794181818181818,0.016631403319132,0.5059800000000001,0.21188,0.2941,1.3939512122417916,0.5155914522502888,0.8783597599915027,5,5,0.6304599999999999,0.1423717951701538,1.2429806441175415,1.238583381114779,0.3454545454545454
Enrosadira 3 Bounded,LCI,50,Area,0.3925336363636363,0.2081552761491436,0.0795718181818181,0.0131709003626797,0.43976,0.18284,0.25692,1.1084391965384437,0.4081825867624459,0.7002566097759978,3,7,0.42041,0.1600702966249902,1.0333689884543118,0.5071799332753584,0.0787878787878787
Enrosadira 4 Bounded,LCI,50,Area,0.4218818181818182,0.2119447673475789,0.087930909090909,0.0160194359791757,0.3783399999999999,0.15957,0.2187699999999999,0.8898654239696577,0.3411493180420398,0.548716105927618,4,6,0.34757,0.1566077254723517,0.8502457143769485,0.4069375538564992,0.103030303030303
Enrosadira 5 Bounded,LCI,50,Area,0.4187827272727272,0.203868035527388,0.0839618181818181,0.017195373109172,0.4269,0.17739,0.24951,1.0212091322490005,0.3869835436663381,0.6342255885826622,3,7,0.491,0.132771418432723,0.9642622501918706,0.5017215486141895,0.2727272727272727
Enrosadira 2 Edges,LCI,50,Area,0.3665945454545454,0.2590235088702058,0.0920672727272727,0.02187019071289,0.51635,0.2227,0.2936499999999999,1.4340260122423285,0.5503812477712811,0.8836447644710475,5,5,0.6120099999999999,0.1328273225757864,1.2630365038560785,1.1567470458466094,0.3818181818181818
Enrosadira 3 Edges,LCI,50,Area,0.3776436363636364,0.2403681901057279,0.08855,0.0168214214619335,0.4856299999999999,0.2146999999999999,0.2709299999999999,1.2696259137218902,0.5016612268087468,0.7679646869131432,4,6,0.4523599999999998,0.1363840386148476,1.146015508982971,0.5597088425502951,0.3212121212121211
Enrosadira 4 Edges,LCI,50,Area,0.4064636363636363,0.2367689963924372,0.0945345454545454,0.0191467168797349,0.46952,0.21769,0.25183,1.127887724260075,0.4762237072394175,0.6516640170206579,4,6,0.3841,0.1347581286526719,1.0566537521779915,0.3258943208802514,0.5393939393939393
Enrosadira 5 Edges,LCI,50,Area,0.3998736363636363,0.2400994792376974,0.0937881818181818,0.0204187432611225,0.45877,0.21035,0.24842,1.1398439943248149,0.4762063781516504,0.6636376161731644,3,7,0.53646,0.1368798385624266,1.0440063032749003,0.6648430778201367,0.3212121212121211
Polonez 2 Bounded,LCI,50,Area,0.3437463636363636,0.22959138900715,0.0763036363636363,0.0140189209803945,0.47882,0.21541,0.26341,1.4057630041880906,0.5638815150654517,0.8418814891226389,5,5,0.6064199999999998,0.1428255953299951,1.1965384346206336,1.167416862090174,0.3939393939393939
Polonez 3 Bounded,LCI,50,Area,0.3581672727272727,0.2229335573307791,0.0773527272727272,0.0147192738210205,0.4610499999999999,0.2134299999999999,0.2476199999999999,1.2660275001363743,0.529935353147977,0.7360921469883973,4,6,0.4800599999999997,0.141254389540357,1.099874369899943,0.6701880160975321,0.2969696969696969
Polonez 4 Bounded,LCI,50,Area,0.38331,0.2206325885146595,0.0824263636363636,0.0141041378841298,0.45619,0.20004,0.25615,1.1858805161306434,0.4685505699950743,0.7173299461355691,4,6,0.4229200000000001,0.141259179795075,1.0726953391557794,0.5619430507308354,0.1151515151515151
Polonez 5 Bounded,LCI,50,Area,0.4022018181818181,0.2030557919554358,0.0800654545454545,0.0132013388439478,0.44655,0.19795,0.2486,1.1104113278899974,0.4459793357609727,0.6644319921290246,4,6,0.50016,0.1389639674082997,1.0240456783246128,0.8036720362049761,0.0424242424242424
Polonez 2 Edges,LCI,50,Area,0.3499454545454545,0.2616464985069576,0.0886236363636363,0.0207332791775576,0.51945,0.2412,0.27825,1.5191265648665326,0.6293460915673749,0.8897804732991577,6,4,0.7257399999999999,0.1378968327460756,1.2876390273846194,1.4493069450943254,0.4787878787878787
Polonez 3 Edges,LCI,50,Area,0.3589309090909091,0.2710691287703848,0.0936972727272727,0.0213911664436089,0.4711600000000001,0.221,0.25016,1.3247326639892445,0.5621192849272395,0.7626133790620051,5,5,0.46636,0.1337373122579743,1.1325663190290949,0.799172026678871,0.0545454545454545
Polonez 4 Edges,LCI,50,Area,0.3801672727272727,0.2737357238018394,0.1013145454545454,0.0232451983702597,0.4569099999999999,0.2044499999999999,0.2524599999999999,1.2018721988769312,0.4877217526141485,0.7141504462627828,5,5,0.3552700000000001,0.1310946496464587,1.072082927110407,0.4176644320531786,0.006060606060606
Polonez 5 Edges,LCI,50,Area,0.3951454545454546,0.242751772618438,0.0944881818181818,0.0198954541632915,0.43629,0.19435,0.24194,1.103394053679904,0.4463257512702778,0.6570683024096262,4,6,0.43591,0.1354475493045249,1.006123658066319,0.5645193498801494,0.1999999999999999
Enrosadira 2 Bounded,MCARI,30,Area,0.8253809090909091,0.2612753607756869,0.2111063636363636,0.037793013712253,1.26192,0.58401,0.67791,1.4816174086407283,0.608263380409827,0.8733540282309012,4,6,1.94738,0.1446275411626799,-11.736452551248227,47.003899307918566,0.7575757575757575
Enrosadira 3 Bounded,MCARI,30,Area,0.8939945454545456,0.2127743935895625,0.1874036363636363,0.0319907887594936,1.17841,0.55729,0.62112,1.2640704348773366,0.5308597839481315,0.7332106509292052,3,7,1.89016,0.1700825939671045,12.279990978676874,34.439995198896185,0.9030303030303028
Enrosadira 4 Bounded,MCARI,30,Area,0.86696,0.2116689593411506,0.17883,0.0287825082298259,1.31617,0.64364,0.67253,1.415460139058321,0.6009098489604555,0.8145502900978655,4,6,2.08031,0.1944795267967265,3.500190549621791,14.008861711884403,0.8787878787878788
Enrosadira 5 Bounded,MCARI,30,Area,0.9143572727272729,0.1976594881629726,0.1757145454545454,0.0295413091665336,1.4422700000000004,0.7388600000000002,0.7034100000000002,1.4574623921934815,0.6547479826790448,0.802714409514437,5,5,2.404980000000001,0.1861709149336526,-6.406715957726468,17.406722067474433,0.7575757575757575
Enrosadira 2 Edges,MCARI,30,Area,0.6987127272727273,0.4217031983514504,0.2869190909090909,0.0366320320087612,1.21246,0.55572,0.65674,1.704400242806806,0.6917009780439562,1.0126992647628497,5,5,1.7589100000000002,0.1309095344221974,4.735581841827407,6.670531691685283,0.709090909090909
Enrosadira 3 Edges,MCARI,30,Area,0.7860745454545455,0.3511399836367367,0.2697463636363636,0.0375891171145924,1.36746,0.68812,0.6793399999999999,1.6647562660297686,0.747310732108853,0.9174455339209154,4,6,2.05186,0.1361489215493808,34.880106398910414,66.44653763170534,0.709090909090909
Enrosadira 4 Edges,MCARI,30,Area,0.7661018181818182,0.3602783474286625,0.2694190909090909,0.02250541243992,1.3663700000000003,0.7008400000000001,0.6655300000000002,1.6320775263906728,0.7249391777166418,0.907138348674031,4,6,2.1518000000000006,0.180554532067685,-2.6410848515939858,22.52378597515041,0.709090909090909
Enrosadira 5 Edges,MCARI,30,Area,0.8196054545454544,0.3123454277242867,0.2522781818181819,0.0293472761319281,1.2822300000000002,0.67652,0.6057100000000001,1.4551293409167294,0.6772092552201259,0.7779200856966036,5,5,2.05783,0.1788480910182635,-401.71969644814106,806.5505823957718,0.5878787878787878
Polonez 2 Bounded,MCARI,30,Area,0.8755881818181819,0.2460811002873391,0.2133554545454545,0.0353844639251851,0.87821,0.42052,0.45769,0.988784727598746,0.4369338752541336,0.5518508523446123,4,6,1.34519,0.1434130107689809,24.896483743571785,47.95517357770178,0.6969696969696969
Polonez 3 Bounded,MCARI,30,Area,0.9122390909090908,0.2310424849200555,0.2091472727272727,0.0272142066174669,1.0363100000000005,0.5111000000000002,0.5252100000000002,1.0949945041319444,0.4914467382360571,0.6035477658958872,4,6,1.7335200000000008,0.1610973820345116,-8.562459418931898,21.82405332143175,0.5757575757575757
Polonez 4 Bounded,MCARI,30,Area,0.9037,0.2089499529376624,0.1858890909090909,0.0225225018390699,1.08095,0.55589,0.52506,1.112900275511507,0.515662783412036,0.597237492099471,2,8,1.6706,0.1862812103374444,-11.943453574230116,25.70519584010922,0.5878787878787878
Polonez 5 Bounded,MCARI,30,Area,0.9051827272727272,0.1977564333994632,0.1747281818181818,0.0265751146067827,1.29914,0.6545,0.64464,1.3541459856444544,0.6075326851502227,0.7466133004942317,3,7,2.0040700000000005,0.1653138090004922,-10.20021271273365,23.87960950467822,0.3939393939393939
Polonez 2 Edges,MCARI,30,Area,0.7758263636363636,0.3710698310171551,0.2852554545454545,0.0268315479850255,0.7912600000000001,0.36685,0.42441,1.0160620026097316,0.4323214915849203,0.5837405110248113,5,5,1.08195,0.1404730332804959,3.1925159629833835,4.1651902796580815,0.2848484848484848
Polonez 3 Edges,MCARI,30,Area,0.7820054545454546,0.3819356763793538,0.2967063636363636,0.0308877924988909,0.8167699999999999,0.4054099999999999,0.4113599999999999,1.006165916197283,0.459187082264872,0.5469788339324108,5,5,1.28489,0.1648912407595565,5.585195483624894,9.295786113385343,0.7212121212121211
Polonez 4 Edges,MCARI,30,Area,0.761459090909091,0.3963406729318503,0.2974136363636363,0.0294371415978954,1.0342699999999996,0.5269299999999998,0.5073399999999998,1.281560573258399,0.5881365352802246,0.6934240379781744,5,5,1.6165299999999994,0.1710867161096897,-43.95151860496612,94.48224611093823,0.7454545454545454
Polonez 5 Edges,MCARI,30,Area,0.8099581818181819,0.3380860917758611,0.2678154545454545,0.0262123228133778,1.18613,0.61878,0.56735,1.3655564339877766,0.6285142940467627,0.7370421399410138,5,5,2.01643,0.1823692092460075,0.3022232423124646,18.50362797560888,0.7212121212121211
Enrosadira 2 Bounded,MCARI,50,Area,0.7532927272727273,0.2533423438029224,0.1873872727272727,0.0377030479115174,0.8816499999999998,0.3870699999999999,0.4945799999999999,1.1709887239501544,0.4677970594889868,0.7031916644611675,5,4,1.3613,0.1595880687883797,4.045898238124799,5.84056842450217,0.4303030303030302
Enrosadira 3 Bounded,MCARI,50,Area,0.8560236363636363,0.1917272291624,0.1625218181818181,0.0304971191485955,0.9575399999999996,0.4619299999999998,0.4956099999999999,1.1027667490926718,0.4881989786951722,0.6145677703974997,4,5,1.5008299999999997,0.151180266659052,-2.250975871181284,13.199335627173229,0.309090909090909
Enrosadira 4 Bounded,MCARI,50,Area,0.8099672727272726,0.1990470533141763,0.1567072727272727,0.0265329761206349,1.1618500000000005,0.56866,0.5931900000000001,1.3870884610888132,0.6053607255971997,0.7817277354916137,5,4,1.66911,0.1767253171791535,-0.5437645990017087,6.3720782247992,0.2969696969696969
Enrosadira 5 Bounded,MCARI,50,Area,0.8596681818181818,0.1807402830614199,0.1497545454545454,0.0274233493080755,1.1194799999999998,0.5775699999999999,0.5419099999999999,1.2615905789411874,0.5789273791885516,0.6826631997526358,6,3,1.5771099999999996,0.2025449990806453,0.4380632527584667,4.704930891153554,0.1757575757575757
Enrosadira 2 Edges,MCARI,50,Area,0.6542936363636364,0.406223206205916,0.2614118181818182,0.0313973905980041,0.7373800000000003,0.3201900000000001,0.4171900000000001,1.1224636897487374,0.4383142319513435,0.6841494577973939,4,5,1.226220000000001,0.174101074188936,1.910239029416669,2.5453361264103163,0.1878787878787878
Enrosadira 3 Edges,MCARI,50,Area,0.7561872727272728,0.3312241983979304,0.2465154545454545,0.0253775804061917,0.94747,0.51236,0.43511,1.2544348820189053,0.6130241430014667,0.6414107390174386,5,4,1.55003,0.1661102274887348,4.406359951037761,6.985573368156325,-0.2242424242424242
Enrosadira 4 Edges,MCARI,50,Area,0.7210972727272726,0.3570211643731627,0.2531363636363636,0.0212807703209856,1.09118,0.57839,0.51279,1.454035379793549,0.6850789303083104,0.7689564494852387,5,4,1.7528599999999996,0.1738907947093234,20.953082162861246,39.84045544615602,0.1878787878787878
Enrosadira 5 Edges,MCARI,50,Area,0.7671072727272729,0.305743494743352,0.2298881818181818,0.0283217964889877,1.08845,0.58058,0.50787,1.436225381516564,0.6894385885277841,0.7467867929887798,5,4,1.5744700000000005,0.1464156714841294,-3.0465169362221918,12.28834416382782,0.0787878787878787
Polonez 2 Bounded,MCARI,50,Area,0.7922709090909091,0.2251668834630138,0.1778663636363636,0.0242159456857366,0.60573,0.3018499999999999,0.30388,0.7677940970497241,0.3627590018622287,0.4050350951874953,5,4,1.02704,0.1351997674951586,2.4941439733924566,3.7695540549737374,0.1151515151515151
Polonez 3 Bounded,MCARI,50,Area,0.8471663636363637,0.2081395101278023,0.1757745454545454,0.0182797425384693,0.5906000000000001,0.30827,0.2823300000000001,0.6787429568712875,0.3353611105203233,0.3433818463509641,5,4,0.9766500000000002,0.1723485813241403,17.095964840586916,32.79831720426732,0.4424242424242424
Polonez 4 Bounded,MCARI,50,Area,0.8378854545454545,0.186472846877486,0.1537090909090909,0.017457512110576,0.81573,0.43262,0.3831099999999999,0.9289913248262064,0.4565673507574225,0.4724239740687838,5,4,1.27761,0.1812098685094985,-1.3775517667305084,7.501176339704591,0.4545454545454545
Polonez 5 Bounded,MCARI,50,Area,0.8359781818181818,0.1854729124662808,0.1508145454545454,0.0231570612831751,0.9065499999999996,0.4590399999999999,0.4475099999999998,1.0453453420696834,0.4853713558006239,0.5599739862690595,5,4,1.1829999999999994,0.1791423554011333,-0.5520103319697037,5.360579604646505,0.2363636363636363
Polonez 2 Edges,MCARI,50,Area,0.7031490909090908,0.3546523451330284,0.2485609090909091,0.0268875404061232,0.4426700000000002,0.1896500000000001,0.2530200000000001,0.6489981057095913,0.2631631722014765,0.3858349335081147,6,3,0.6876800000000006,0.1647130745710258,1.081309392647109,1.2363405528985187,-0.2121212121212121
Polonez 3 Edges,MCARI,50,Area,0.7396499999999999,0.346139277178589,0.2537172727272727,0.0276518285438446,0.64701,0.35688,0.29013,0.8538711639431842,0.4440276171718533,0.4098435467713308,5,4,0.9028,0.150766116761399,2.5531673531602714,3.657592001412617,0.3454545454545454
